epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
120,10439.5,0.49142,0.60341,0.32069,0.86288,0.9794,0.98338,0.99218,0.91947,0.97909,0.98306,0.99205,0.76405,0.3763,0.49856,0.21463,0.8304,0.0076438,0.0076438,0.0076438
121,10524.6,0.48383,0.60831,0.31681,0.85901,0.98198,0.98072,0.99155,0.92188,0.98166,0.98039,0.9915,0.7676,0.37622,0.49785,0.21371,0.82813,0.007624,0.007624,0.007624
122,10612,0.50142,0.62854,0.32413,0.85933,0.98244,0.97767,0.99185,0.92271,0.98212,0.97735,0.99187,0.77176,0.37099,0.49895,0.21089,0.82502,0.0076042,0.0076042,0.0076042
123,10699.5,0.48522,0.60262,0.31658,0.85399,0.98418,0.98018,0.99215,0.91909,0.98352,0.97953,0.99193,0.76629,0.36982,0.49316,0.20915,0.8235,0.0075844,0.0075844,0.0075844
124,10784.6,0.48895,0.61224,0.32263,0.85766,0.98518,0.98107,0.99247,0.92071,0.98486,0.98075,0.99251,0.76639,0.36855,0.49409,0.20994,0.82503,0.0075646,0.0075646,0.0075646
125,10871.2,0.48521,0.59789,0.32252,0.85034,0.98304,0.97787,0.99164,0.92158,0.98272,0.97754,0.99168,0.76067,0.36397,0.49141,0.20951,0.82207,0.0075448,0.0075448,0.0075448
126,10956.5,0.48916,0.60843,0.31985,0.85764,0.98769,0.97628,0.99267,0.92466,0.98812,0.97608,0.99269,0.77264,0.36384,0.48751,0.21001,0.82414,0.007525,0.007525,0.007525
127,11044.7,0.48251,0.61423,0.31839,0.85433,0.98683,0.97074,0.99215,0.92063,0.98654,0.97038,0.99212,0.76514,0.36292,0.49064,0.20947,0.82256,0.0075052,0.0075052,0.0075052
128,11131.6,0.47246,0.58869,0.31144,0.85079,0.98831,0.97712,0.99268,0.92706,0.98831,0.97712,0.99255,0.76857,0.35654,0.48667,0.20524,0.81981,0.0074854,0.0074854,0.0074854
129,11225.3,0.47957,0.60667,0.3206,0.85223,0.98321,0.97613,0.99236,0.92566,0.98298,0.9752,0.99225,0.76624,0.35654,0.48822,0.20575,0.82062,0.0074656,0.0074656,0.0074656
